CountyName,AvgAcresBurned,AvgProtectedAcres,HumanOrLightning,GeneralCause,AvgFireDuration,B01001_001E
Baker,829.985,128.101,1,2,4 days 10:05:09.767441860,16019
Benton,2.149,1.69,0,1,0 days 12:11:28.512396694,91107
Clackamas,165.204,67.063,0,0,3 days 13:18:45.794813979,410463
Clatsop,2.978,2.926,0,0,15 days 03:50:56.619718309,39102
Columbia,1.016,1.005,0,0,0 days 12:59:34.550561797,51375
Coos,2.514,2.506,0,0,9 days 03:04:40.433369447,63686
Crook,7.877,3.801,1,2,4 days 09:51:58.932384341,23011
Curry,1032.544,67.044,0,0,16 days 06:32:24,22650
Deschutes,114.797,25.506,0,2,6 days 17:03:16.802973977,186251
Douglas,80.376,41.876,0,1,10 days 12:53:23.919089759,109114
Gilliam,51.267,51.267,1,2,2 days 17:18:00,1878
Grant,435.862,122.353,1,2,5 days 09:33:17.355932203,7189
Harney,5866.078,145.388,1,2,7 days 19:50:12,7267
Hood River,135.962,7.354,0,1,2 days 19:56:42.098360655,23209
Jackson,69.072,39.292,0,2,12 days 17:42:35.043452202,216574
Jefferson,880.63,64.658,1,2,6 days 03:03:01.470588235,23607
Josephine,441.76,39.303,0,1,8 days 11:06:16.154729988,86251
Klamath,216.01,83.302,0,2,9 days 09:49:39,66921
Lake,1465.568,330.047,1,2,13 days 04:17:05.915492957,7837
Lane,137.882,74.267,0,1,4 days 04:43:26.272727272,373340
Lincoln,12.809,10.288,0,3,5 days 21:01:21.581027668,48547
Linn,2.776,2.783,0,1,5 days 08:56:02.274881516,125048
Malheur,831.372,6.132,1,2,5 days 04:19:48,30412
Marion,1171.002,455.638,0,0,1 days 19:02:37.478005865,339641
Morrow,15.804,13.211,1,2,50 days 08:55:40.476190476,11303
Multnomah,1253.814,34.543,0,1,0 days 16:45:38.461538461,804606
Polk,5.173,4.852,0,0,0 days 17:23:11.415929203,83037
Tillamook,3.383,3.347,0,3,3 days 19:32:56.369426751,26389
Umatilla,105.301,50.95,1,2,2 days 02:10:12.801724137,77129
Union,21.89,10.146,1,2,7 days 13:57:17.572559366,26337
Wallowa,1038.363,72.699,1,2,0 days 20:54:31.938775510,7004
Wasco,433.537,109.887,0,0,1 days 09:56:02.918918918,26130
Washington,2.829,2.372,0,0,0 days 18:47:35.294117647,589481
Wheeler,360.251,68.597,1,2,5 days 13:08:38.715083798,1415
Yamhill,2.393,2.171,0,1,32 days 09:10:13.003802281,104831
