CountyName,B01001_001E,StateCode,CountyCode
Lane,373340,41,039
Washington,589481,41,067
Clatsop,39102,41,007
Jackson,216574,41,029
Grant,7189,41,023
Clackamas,410463,41,005
Tillamook,26389,41,057
Josephine,86251,41,033
Umatilla,77129,41,059
Columbia,51375,41,009
Wasco,26130,41,065
Union,26337,41,061
Marion,339641,41,047
Douglas,109114,41,019
Jefferson,23607,41,031
Polk,83037,41,053
Deschutes,186251,41,017
Linn,125048,41,043
Yamhill,104831,41,071
Baker,16019,41,001
Klamath,66921,41,035
Lincoln,48547,41,041
Benton,91107,41,003
Crook,23011,41,013
Sherman,1642,41,055
Harney,7267,41,025
Malheur,30412,41,045
Wallowa,7004,41,063
Wheeler,1415,41,069
Morrow,11303,41,049
Coos,63686,41,011
Curry,22650,41,015
Gilliam,1878,41,021
Hood River,23209,41,027
Lake,7837,41,037
Multnomah,804606,41,051
